text,label,label_text,llama31_simple,llama31_advanced,llama31_conservative,mistral7b_simple,mistral7b_advanced,mistral7b_conservative
i admit im feeling a little bit unloved at this point,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel like that im hated by most of the girls is it becoz im a good dancer,0,sadness,sadness,anger,sadness,anger,fear,anger
i just feel its one of those things you dont talk about too much because then too many people come to know and then the plan doesnt taste as sweet nor does it feel like a plan,2,love,sadness,,sadness,sadness,fear,
i dropped martin back off i was the dd i pulled in and because i was feeling exceptionally outgoing waved and talked to some of my neighbors downstairs,1,joy,joy,,joy,joy,joy,
i know its easy to feel a little envious of me and i cant tell you that you shouldnt,3,anger,sadness,,sadness,,joy,
i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,3,anger,joy,,joy,joy,joy,joy
i have an ed i will tell you that i know i shouldn t feel shamed of eating a protein bar for breakfast and the fact that i ate one isn t what makes me shameful it s the fact i didn t make it is what made me hang my head and tuck tail,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel empty inside not surprising considering i havent eaten all day,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel a bit calm now,1,joy,,,,,joy,joy
i feel scared anxious,4,fear,fear,,fear,fear,fear,fear
i grabbed my dog and hugged her fiercly for the next hour or so until i began to feel a bit like myself again but i havent completly shaken the feeling and have been feeling rather depressed anxious all day,4,fear,sadness,,sadness,sadness,sadness,sadness
i feel so needy latley,0,sadness,sadness,,sadness,sadness,sadness,sadness
i was feeling very anxious this song came on the radio as soon as i got in the car,4,fear,fear,anger,anger,fear,fear,fear
im pretty sure and its been about a week and a half so although im feeling kind of betrayed and disillusioned by men at the moment everythings okay,0,sadness,sadness,,sadness,anger,sadness,sadness
i cant think of any emotional state that is worse than feeling generally worthless and unlovable,0,sadness,sadness,,sadness,sadness,sadness,sadness
i have better things to do than to feel humiliated,0,sadness,anger,,anger,anger,anger,anger
i feel i can only hope im not alone in these thoughts and im sure to all you fellow exchange students you probably have the same thoughts in mind with at least some of this listed some might say being an exchange student is unlike any other experience,0,sadness,sadness,,sadness,sadness,joy,sadness
i feel very saddened that the king whom i once quite respected as far as monarchs go was ineffectual at best,1,joy,sadness,,sadness,sadness,sadness,sadness
i feel ive ignored it too long this year,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel i should as a gracious gesture apologizing for my latest post about the osp and the rand license terms,2,love,sadness,,sadness,anger,anger,anger
i appreciate how clean their lifestyles are even though i admit there were a few moments where the complete aversion to substances sex made me feel a little repressed,0,sadness,sadness,,sadness,sadness,sadness,sadness
i just cant help but feel like i must protect this innocent being,1,joy,love,,love,fear,love,fear
i feel so glad doing this,1,joy,joy,,joy,joy,joy,joy
i feel truly heartbroken that hyun joongs fans can be so hateful,0,sadness,sadness,,sadness,anger,sadness,anger
i get disappointed it makes me feel so rejected especially being disappointed by a loved one,0,sadness,sadness,,sadness,sadness,sadness,sadness
i sit in the same hostel i did nearly two months ago this time wearing a jacket and feeling as if my toes might be a little numb from the cold,0,sadness,sadness,sadness,sadness,sadness,sadness,sadness
ill find that elusive second wind and feel more hopeful but today i am a href http www,1,joy,sadness,,sadness,sadness,sadness,sadness
i could have done more but i was feeling a pleasant tiredness and had a good sweat going so i stopped at that,1,joy,joy,,joy,,joy,joy
i feel inspired so many thing i want to write down,1,joy,joy,,joy,joy,joy,joy
i came away from that expereince feeling like i had had an encounter with the divine,1,joy,joy,,joy,joy,joy,joy
i feel is an acceptable and significant modernization to the storyline not a detraction,1,joy,joy,,joy,joy,joy,joy
i say i want to be more of people person but i feel very mellow right now,1,joy,sadness,,sadness,sadness,sadness,sadness
i to feel unwelcome at her apartment certainly not,0,sadness,sadness,,sadness,,anger,sadness
i was gaining weight getting a lot stronger and feeling amazing,1,joy,joy,,joy,joy,joy,joy
i feel affirmed gracious sensuous and will have less self doubt when a href http generations,2,love,love,,,joy,joy,joy
i feel like he s a lot more playful open with me than other girls i know he s friends with,1,joy,joy,joy,joy,joy,joy,joy
i am feeling a bit offended,3,anger,anger,,anger,anger,anger,anger
i was bonded to that point in time and still feel fond of this memory,2,love,love,,love,love,love,
im feeling good these days and my only complaints are that its getting harder and harder to move around and chase after stone and its getting harder and harder to find clothes that fit,1,joy,sadness,,sadness,joy,joy,joy
i even feel a little shaky,4,fear,fear,,fear,,fear,fear
i think i was also having a pity party because i am feeling a bit frustrated with how little time i seem to have each day,3,anger,sadness,,sadness,sadness,sadness,sadness
im also still feeling whiney as hell so its possible i could rant a bit today,0,sadness,anger,,anger,anger,sadness,anger
i feel so weird but i guess kind of happy,4,fear,joy,,sadness,joy,joy,joy
i feel like the writer wants me to think so and proclaiming he no longer liked pulsars is a petty and hilarious bit of character,2,love,anger,,joy,anger,anger,anger
i feel like i am not accepted here i and bucking this force that is coming from all quarters that tells me that something is wrong with me if i am not married with children,1,joy,sadness,,sadness,sadness,sadness,sadness
im feeling generous today heres one more you may have already seen but is good for a chuckle,2,love,joy,,joy,joy,joy,joy
i feel very cheated since i am supporting the family and doing all the other stuff while he spends hours a day gaming,1,joy,anger,,anger,anger,anger,anger
i still wake up feeling suspicious,4,fear,fear,,fear,fear,fear,
i wonder if i feel under nurtured or needy,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel like im still quite bad at describing my feelings with good words and beautiful phrases,0,sadness,sadness,,sadness,,sadness,sadness
i feel more assured having made my peace with atheism,1,joy,joy,,joy,,joy,
i think im making up for feeling like i missed autumn and its great colours,0,sadness,joy,,sadness,sadness,joy,joy
i always feel a little jealous of my son because when i joined the church i went almost directly into young women so i didnt learn the primary songs,3,anger,sadness,,sadness,sadness,sadness,sadness
i went around for the rest of the day feeling distressed that i changed my appearance based on someones comments how i made myself even by coincidence more appealing to him and that just felt wrong wrong wrong,4,fear,sadness,,sadness,sadness,sadness,sadness
i see you on the pitchers mound at our little league diamond i feel so anxious for you because it looks so isolated over there,4,fear,fear,,sadness,fear,fear,fear
i no longer feel doomed to falling into the abyss with no way out,0,sadness,joy,,joy,joy,joy,
i guess its because i feel like if im too passionate about something it will get taken away from me,2,love,sadness,,sadness,fear,sadness,fear
i know nothing is going to change even i feel very envious to these people but i cant stop feeling jealous to these people because its a human beings instinct to act so,3,anger,sadness,,sadness,anger,anger,anger
ive missed that feeling and ive missed being there and ive missed having something to work towards that keeps my focus on me and keeps it off of my phone and the potential trouble it can get me in,0,sadness,sadness,,sadness,sadness,sadness,sadness
im feeling a little lethargic,0,sadness,sadness,,sadness,sadness,sadness,sadness
im feeling a lot less ugly duckling and a lot more a href http,0,sadness,joy,,joy,joy,joy,joy
i don t want to tag people who think this is silly but if there are people out there who want to be tagged i wouldn t want to make them feel unwelcome,0,sadness,sadness,,sadness,,love,
i really feel like they were gentle reminders that while god hasnt always promised an easy road he has promised to be with us as we travel the rough ones,2,love,love,,love,love,joy,
i sometimes feel like a damaged product,0,sadness,sadness,,sadness,sadness,sadness,sadness
i want you to know that if i become prime minister in less than a year s time i will be proud to do so as a friend of israel a jew and most of all someone who feels so proud to be part of the community gathered here today,1,joy,love,,joy,,joy,
i feel insulted by how those heroes of cosplay goons said they don t care if you re if,3,anger,anger,,anger,anger,anger,anger
i feel is the most important question how would we handle this,1,joy,anger,anger,fear,,fear,
i feel for all of you who have been supporting me is so extreme there would be no way to put a number value on it,1,joy,,,,love,love,love
im still feeling very emotional,0,sadness,sadness,,sadness,,sadness,sadness
i feel the need to explain myself and my thoughts in ways that are clever funny or maybe even insightful,1,joy,joy,,joy,joy,joy,joy
i feel intimidated by the tasks you feel overwhelmed by huge and complicated tasks,4,fear,fear,,sadness,,fear,
i would feel productive,1,joy,joy,,joy,joy,joy,joy
i firmly believe that the only way to go about this craft is to write the book that you feel passionate about and not to worry about finding the book that the mass audience desires,1,joy,joy,,joy,joy,joy,joy
i feel like some heroine of some tragic manga,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel proud to know several people that have deserved to be advanced for a while now and finally picked it up this time around or last time in a few peoples cases,1,joy,joy,,joy,joy,joy,joy
i ignore this voice as well knowing by now it doesn t matter if i feel humiliated by what you request of me i like that feeling i welcome that flushed hot feeling of embarrassment that you can arouse in me,0,sadness,sadness,,sadness,,joy,
i was feeling very unsure of myself and at near breaking point,4,fear,sadness,,sadness,sadness,sadness,sadness
i received a slightly belated message back from daniel and feel a lot more reassured that im not the only one who thinks l is emotionally insensitive,1,joy,sadness,,sadness,,sadness,
i only do unwillingly and always leaves me feeling grouchy and unsettled,3,anger,sadness,,sadness,anger,anger,anger
i feel numb the end of the world as we know it and i feel numb a href http leslielandberg,0,sadness,sadness,,sadness,sadness,sadness,sadness
i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,0,sadness,sadness,,sadness,,joy,sadness
i feel very honored to have been shortlisted within the patient ambassador volunteer category which recognises members of the public and staff who provide outstanding help and support through volunteering or providing patient opinions either on a public partnership forum or on a patients panel,1,joy,joy,,joy,joy,joy,joy
i can honestly say that after each sistahs chat i feel invigorated and blessed,1,joy,joy,,joy,joy,joy,joy
i offend easily when i feel my intelligence is insulted,3,anger,anger,,anger,anger,anger,anger
i write this i feel oddly calm like wanting to just relax in a big chair or lay out in the sun,1,joy,joy,,,joy,joy,joy
i imagined being in form fitting clothing that was beautiful looking in the mirror and feeling proud being lighter and more energetic,1,joy,joy,joy,joy,joy,joy,joy
i notice how different this question is from why i am feeling so agitated,4,fear,anger,,anger,anger,anger,anger
i feel so relieved and happy to realize what is being said,1,joy,joy,,joy,joy,joy,joy
i sometimes have urges to just freak out because i feel so bothered and usually nothing has caused me to feel bothered or irritated i scratch my arms when i m mad,3,anger,anger,,anger,anger,anger,anger
i honestly thought impossible at this point i feel pretty,1,joy,sadness,,sadness,joy,joy,joy
i guess it could be described as me just not really feeling like i m a part of the popular bands the up and comers or the growing local band,1,joy,sadness,,sadness,sadness,sadness,sadness
i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,4,fear,sadness,,sadness,anger,anger,anger
i feel very honored in how much he has shared and expressed with me and that he trusts me,1,joy,love,,love,love,joy,love
i feel rebellious i wish i could do things legally i cant smoke drink or drive,3,anger,anger,,anger,anger,anger,anger
i pull out one of my favorite books to make myself feel miserable,0,sadness,sadness,,sadness,sadness,sadness,sadness
im feeling excited about it,1,joy,joy,,joy,joy,joy,joy
i feel like being sociable and just aaaah,1,joy,joy,,joy,joy,joy,joy
i just want to feel loved by you,2,love,love,,love,love,love,love
i feel like alcoholism is something that is widely accepted as the norm in gay culture,1,joy,sadness,,sadness,anger,anger,
i get to be creative if i feel like it or just sit and chat to customers the people are all lovely even kermit helps out see,2,love,joy,,joy,joy,joy,joy
i just tell people i feel like one sweet southern mess right now,1,joy,sadness,,sadness,sadness,sadness,sadness
i dont know it if is the freshness of both but i feel more energetic during these seasons,1,joy,joy,,joy,joy,joy,joy
i have to give it to men as women we complain a lot about the heals we have to wear but at least we can wear a dress and feel cool in the summer,1,joy,joy,,joy,joy,joy,
i was feeling a little sentimental today,0,sadness,sadness,,sadness,,sadness,sadness
i feel could have been avoided with some blazes markers or cairns i was very annoyed at this point,3,anger,anger,,anger,anger,anger,anger
i don t feel i can ask him what feels like a dumb question,0,sadness,anger,,fear,fear,fear,fear
i feel dirty watching this series and you can tell how the series is trying to induce false emotions in the viewer,0,sadness,anger,,anger,anger,anger,anger
i have tested positive but i have never taken drugs and i feel innocent says martina,1,joy,sadness,,sadness,,anger,
i sit here feeling drained i really wonder what will i do when i reach that point,0,sadness,sadness,,sadness,sadness,sadness,sadness
i usually end up sitting at my desk feeling like i m at work but just doing unimportant tasks or browsing the internet,0,sadness,sadness,,sadness,sadness,sadness,
i feel like life is so vain,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel very honoured to have been part of the bond family and very much hope i have a chance to work with them again sometime in the future,1,joy,joy,,joy,joy,joy,joy
i feel like he moves sleep i am glad i enjoyed that week of good sleep that i mentioned because i have a feeling that is over with now,1,joy,sadness,,sadness,sadness,sadness,sadness
im not constantly horny or always feeling playful,1,joy,anger,,sadness,anger,sadness,anger
i had a fab christmas and an amazing new year with my family and friends and against all odds i feel very optimistic about,1,joy,joy,joy,joy,joy,joy,joy
i never feel like im not supporting,1,joy,sadness,,sadness,joy,joy,
i wanna feel that gorgeous body a yers underneath me next time i m fuckin ya alex took a deep breath and her eyes seemed to glow while she imagined the scenario in her mind a scene she had pictured many times before,1,joy,,,,love,love,love
i feel myself about how successful my attempts are im starting to connect with the fact that people want to hear music not perfection whatever that is,1,joy,joy,,joy,joy,joy,joy
im so proud of you no words can describe the way that makes my heart feel thank you god for my supportive amazing hubbard,2,love,love,,love,joy,joy,joy
i made that make me feel dumb and dumber,0,sadness,anger,,sadness,sadness,sadness,sadness
i feel happy about this solution,1,joy,joy,,joy,joy,joy,joy
i said at the beginning i have combination oily skin but i still use this around once a week because my skin feels absolutely gorgeous the morning after applying it,1,joy,joy,,joy,joy,joy,joy
i start to feel emotional,0,sadness,sadness,,sadness,,sadness,sadness
i wonder if im vain because i love dressing up and attempting to be fashionable but then i realized that there is nothing wrong with dressing so that you feel pretty cute smart whatever,1,joy,sadness,,sadness,joy,joy,joy
i feel smart when i figure things out myself,1,joy,joy,,joy,joy,joy,joy
i feel less shy about exploring roles in more physical ways,4,fear,joy,,joy,joy,joy,joy
i feel blessed that i have people in my life who remind me all the time that i did the right thing and that i look better like this,2,love,joy,,joy,joy,joy,joy
i am going to have to check on in just a few minutes but there is this clock up above the screen that keeps ticking down the minutes i have left so am feeling a bit frantic,4,fear,fear,,fear,fear,fear,fear
i lift different now because it hurt so bad the day it happened that i can t get it out of my mind and i feel myself being a bit timid,4,fear,sadness,,sadness,sadness,sadness,sadness
i then feel your tender touch as you enfold me with his love,2,love,love,love,love,love,love,love
i don t want them to feel so pressured,4,fear,sadness,,sadness,sadness,sadness,sadness
im feeling dangerous and ill just write and figure out where the hell itll take me,3,anger,anger,,fear,anger,anger,fear
i don t really believe because i walked through all the water stops in my first marathon and i actually don t think that walking is bad but dammit i was feeling stubborn and i wanted to get home and needed to be motivated by something,3,anger,anger,,anger,anger,anger,
im feeling really really sarcastic caustic or theres been an influx of idiots into my flists daily lives,3,anger,anger,,anger,sadness,anger,anger
i feel less frightened and more grounded and centered,4,fear,fear,,fear,,joy,joy
i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,4,fear,joy,,joy,joy,joy,joy
i wake up feeling like something terrifyingly bad is bound to happen to me before i even get a chance to stick a limb outside of my covers,0,sadness,fear,,fear,fear,fear,fear
i have found myself fighting back as he wakes me from my sleep time and time again feeling the hurt and sting of my own abandonment to my first love,0,sadness,sadness,,sadness,,sadness,sadness
im learning mandarin chinese now in preparation for a trip to tianjin this september and already only four lessons in i feel like i have a handle on the basics and im thrilled to have some insight into a language that had always been a total mystery to me,1,joy,joy,joy,joy,joy,joy,joy
i dont really care and i dont feel proud of myself at all,1,joy,sadness,,sadness,sadness,sadness,sadness
i feel shaky from the battering of emotions but im still standing,4,fear,sadness,,sadness,sadness,sadness,sadness
i feel rotten but no amount of suggesting that losing a sense of smell is a terribly disorientating experience for a wine person seems to convince people that i might not actually live to feel good again,0,sadness,sadness,,sadness,sadness,sadness,sadness
i see all my friends posting pics and status updates of where they are going or what they are doing and i feel a bit jealous knowing it s not something i can get out and enjoy,3,anger,sadness,,sadness,sadness,sadness,sadness
i feel like it might just be ok,1,joy,joy,,sadness,joy,joy,joy
i hope i get the job cause im in desperate need of money and i feel greedy,3,anger,anger,,anger,anger,anger,anger
i am on top of my game and my fingers feel strong and loose,1,joy,joy,,joy,joy,joy,joy
i first read this book during college and it has helped me cope with the feeling of helplessness and fear of the uncertain future,4,fear,fear,fear,fear,fear,fear,fear
i wasnt feeling well yesterday morning afternoon so i just laid in bed and ended up in the all too familiar youtube black hole,1,joy,sadness,,sadness,sadness,sadness,sadness
i was feeling particularly pissed off and wanted to go to a party,3,anger,anger,,anger,anger,anger,anger
i always feel really confident of my life and my choices when i go home,1,joy,joy,,joy,joy,,joy
i wont lie this week has been abit of a difficult week for me ive been feeling very stressed and anxious this week plus i think im coming down with the flu but it has definately helped me to appreciate the little things,3,anger,sadness,,sadness,sadness,sadness,sadness
i wasn t sure what this gnawing feeling i was having but i was getting agitated sitting around doing nothing,3,anger,anger,,anger,anger,anger,anger
i am now and i still feel the aching loneliness of that quiet hospital room,0,sadness,sadness,,sadness,sadness,sadness,sadness
i do take on a half marathon challenge then i will wait and see how the body feels as to whether there will be a pb attempt or a casual kilometre shuffle,1,joy,joy,,joy,,joy,joy
i remember leaving church feeling invigorated every sunday and tuesday night,1,joy,joy,,joy,joy,joy,joy
i feel honoured that such a great man claims me as his friend,1,joy,love,,love,joy,joy,joy
i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,3,anger,anger,,anger,anger,anger,
i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,3,anger,sadness,,sadness,sadness,sadness,sadness
i got a great pump and halfway through the workout i started to feel fantastic,1,joy,joy,,joy,joy,joy,joy
i just feel totally useless today,0,sadness,sadness,,sadness,sadness,sadness,sadness
i was supposed to feel sympathy for emma im afraid i failed,4,fear,sadness,,sadness,sadness,sadness,sadness
i can t help but feel really nostalgic of the disney levels,2,love,sadness,,sadness,sadness,joy,
i realized what i am passionate about helping women feel accepted and appreciated,1,joy,love,,love,joy,joy,joy
i feel transcendant and splendid,1,joy,joy,,joy,joy,joy,joy
i feel a lot of affection for you that is longing to be conveyed,2,love,love,,love,love,love,love
i do not feel assured,1,joy,sadness,,sadness,sadness,sadness,
i have some pretty brazen goals and each day i feel stronger and more confident that i m going to reach my desired end result,1,joy,joy,,joy,joy,joy,joy
i feel like a naughty school girl because i am falling behind,2,love,sadness,,sadness,sadness,sadness,sadness
i feel disillusioned with the occult so i have come to feel a greater connection to the earth,0,sadness,sadness,,sadness,sadness,sadness,sadness
im feeling and if ive liked being pregnant,2,love,sadness,,sadness,joy,sadness,joy
i have a feeling that its too sociable,1,joy,sadness,,sadness,,joy,joy
i basically spent a miserable night crying and feeling terrified and sick to my stomach,4,fear,sadness,,fear,fear,fear,fear
i am up and ready to read read read today even though im feeling very groggy this morning,0,sadness,joy,,joy,joy,joy,joy
i have asthma and when i can barely breathe when it s hard i feel very shaky and weak i feel like not doing anything but lie there helplessly and i feel like collapesing i did so much reseach and i got nothing,4,fear,sadness,,sadness,fear,sadness,fear
i sat up to embrace them and realised that two hours spent shaking my thang in an eighties bar celebrating the fact i am one year closer to death had left my ageing body feeling punished and my normally pink feet blackened,0,sadness,sadness,,sadness,,sadness,
im starting to feel really pathetic giving the bulk of my enthusiasm these days to the kardashians us weekly and roseanne marathons and completely ignoring this blog,0,sadness,sadness,,sadness,sadness,sadness,sadness
i honestly wish christmas was celebrated in the summer because i feel like i tend not be as jolly as i wish i could be,1,joy,sadness,,sadness,,joy,sadness
ive never done a detox or cleanse before and i really had no desire to i feel like cleanses cycle around and become popular every couple of years and id pretty much written them off,1,joy,anger,,anger,anger,anger,anger
i just feel so virtuous when we go on a fieldtrip,1,joy,joy,,joy,joy,joy,joy
i listen to the advice of my eating disorder will i actually feel better,1,joy,sadness,,sadness,sadness,sadness,
i am feeling very indecisive and spontaneous,4,fear,sadness,,sadness,,joy,joy
im feeling really out of place and irritated,3,anger,anger,,anger,,anger,anger
im feeling more lively than yesterday still not sure about food though,1,joy,joy,,joy,joy,joy,joy
